17:1:4.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9339N, 112.4909, W, Speed (knots): , 8.39, Angle: 348.48, Altitude: 23955.80, Satellites: 10
17:1:7.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9340N, 112.4910, W, Speed (knots): , 6.60, Angle: 296.08, Altitude: 23869.10, Satellites: 10
17:1:8.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9341N, 112.4911, W, Speed (knots): , 18.24, Angle: 334.99, Altitude: 23784.30, Satellites: 10
17:1:11.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9343N, 112.4913, W, Speed (knots): , 28.27, Angle: 304.48, Altitude: 23702.50, Satellites: 10
17:1:12.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9345N, 112.4916, W, Speed (knots): , 38.68, Angle: 309.77, Altitude: 23622.20, Satellites: 10
17:1:16.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9349N, 112.4922, W, Speed (knots): , 43.95, Angle: 318.60, Altitude: 23505.80, Satellites: 10
17:1:18.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9351N, 112.4924, W, Speed (knots): , 26.01, Angle: 316.68, Altitude: 23425.20, Satellites: 10
17:1:20.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9352N, 112.4925, W, Speed (knots): , 14.39, Angle: 314.81, Altitude: 23343.10, Satellites: 10
17:1:23.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9354N, 112.4927, W, Speed (knots): , 13.60, Angle: 328.70, Altitude: 23216.90, Satellites: 10
17:1:24.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9354N, 112.4928, W, Speed (knots): , 11.54, Angle: 318.51, Altitude: 23134.90, Satellites: 10
17:1:27.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9355N, 112.4929, W, Speed (knots): , 8.30, Angle: 313.19, Altitude: 23053.50, Satellites: 10
17:1:28.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9355N, 112.4930, W, Speed (knots): , 8.47, Angle: 312.55, Altitude: 22975.00, Satellites: 10
17:1:31.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9356N, 112.4931, W, Speed (knots): , 16.31, Angle: 337.75, Altitude: 22894.80, Satellites: 10
17:1:34.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9357N, 112.4932, W, Speed (knots): , 5.07, Angle: 263.07, Altitude: 22776.20, Satellites: 10
17:1:36.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9358N, 112.4933, W, Speed (knots): , 7.79, Angle: 326.87, Altitude: 22657.80, Satellites: 10
17:1:39.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9359N, 112.4934, W, Speed (knots): , 15.83, Angle: 338.89, Altitude: 22579.10, Satellites: 10
17:1:40.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9361N, 112.4935, W, Speed (knots): , 21.66, Angle: 332.26, Altitude: 22502.50, Satellites: 10
17:1:44.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9363N, 112.4937, W, Speed (knots): , 17.64, Angle: 303.27, Altitude: 22389.70, Satellites: 10
17:1:46.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9364N, 112.4939, W, Speed (knots): , 13.97, Angle: 322.19, Altitude: 22313.00, Satellites: 10
17:1:48.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9365N, 112.4941, W, Speed (knots): , 25.22, Angle: 309.17, Altitude: 22235.80, Satellites: 10
17:1:51.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9367N, 112.4944, W, Speed (knots): , 19.14, Angle: 297.12, Altitude: 22123.30, Satellites: 10
17:1:54.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9368N, 112.4947, W, Speed (knots): , 19.46, Angle: 283.43, Altitude: 22010.80, Satellites: 10
17:1:56.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9368N, 112.4949, W, Speed (knots): , 15.05, Angle: 265.37, Altitude: 21936.30, Satellites: 10
17:1:58.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9369N, 112.4950, W, Speed (knots): , 6.17, Angle: 271.85, Altitude: 21862.90, Satellites: 10
17:2:0.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9369N, 112.4951, W, Speed (knots): , 8.24, Angle: 301.86, Altitude: 21789.20, Satellites: 10
17:2:3.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9369N, 112.4953, W, Speed (knots): , 11.97, Angle: 280.84, Altitude: 21676.70, Satellites: 10
17:2:4.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9370N, 112.4954, W, Speed (knots): , 16.11, Angle: 286.07, Altitude: 21605.50, Satellites: 10
17:2:8.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9370N, 112.4957, W, Speed (knots): , 13.90, Angle: 296.09, Altitude: 21501.10, Satellites: 10
17:2:10.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9371N, 112.4959, W, Speed (knots): , 27.00, Angle: 303.02, Altitude: 21431.60, Satellites: 10
17:2:12.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9372N, 112.4961, W, Speed (knots): , 13.73, Angle: 270.34, Altitude: 21361.60, Satellites: 10
17:2:14.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9372N, 112.4964, W, Speed (knots): , 12.76, Angle: 284.78, Altitude: 21292.20, Satellites: 10
17:2:16.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9372N, 112.4966, W, Speed (knots): , 18.90, Angle: 263.96, Altitude: 21224.60, Satellites: 10
17:2:18.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9372N, 112.4968, W, Speed (knots): , 17.35, Angle: 223.56, Altitude: 21155.70, Satellites: 10
17:2:20.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9371N, 112.4970, W, Speed (knots): , 16.37, Angle: 274.54, Altitude: 21052.50, Satellites: 10
17:2:23.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9371N, 112.4972, W, Speed (knots): , 11.22, Angle: 236.81, Altitude: 20984.80, Satellites: 10
17:2:24.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9371N, 112.4972, W, Speed (knots): , 5.62, Angle: 213.39, Altitude: 20917.30, Satellites: 10
