20:59:14.0, Date: 0/0/0, Fix: 0,  quality: 2
20:59:16.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.81, Angle: 155.10, Altitude: 1955.00, Satellites: 8
20:59:18.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.79, Angle: 177.12, Altitude: 1954.60, Satellites: 8
20:59:20.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.46, Angle: 177.12, Altitude: 1954.60, Satellites: 8
20:59:22.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.35, Angle: 177.12, Altitude: 1954.60, Satellites: 8
20:59:24.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.31, Angle: 177.12, Altitude: 1954.50, Satellites: 8
20:59:27.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.16, Angle: 177.12, Altitude: 1954.50, Satellites: 8
20:59:28.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.30, Angle: 177.12, Altitude: 1954.50, Satellites: 8
20:59:31.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.30, Angle: 177.12, Altitude: 1954.50, Satellites: 8
20:59:32.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.10, Angle: 177.12, Altitude: 1954.50, Satellites: 8
20:59:35.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.24, Angle: 177.12, Altitude: 1954.50, Satellites: 8
20:59:36.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.28, Angle: 177.12, Altitude: 1954.50, Satellites: 8
20:59:39.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.18, Angle: 177.12, Altitude: 1954.50, Satellites: 8
20:59:42.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.17, Angle: 177.12, Altitude: 1954.50, Satellites: 8
20:59:44.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.13, Angle: 177.12, Altitude: 1954.60, Satellites: 8
20:59:46.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.18, Angle: 177.12, Altitude: 1954.60, Satellites: 8
20:59:48.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.26, Angle: 177.12, Altitude: 1954.60, Satellites: 8
20:59:51.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.08, Angle: 177.12, Altitude: 1954.60, Satellites: 8
20:59:52.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.16, Angle: 177.12, Altitude: 1954.70, Satellites: 8
20:59:56.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.26, Angle: 177.12, Altitude: 1954.70, Satellites: 8
20:59:58.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.22, Angle: 177.12, Altitude: 1954.80, Satellites: 7
21:0:0.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.18, Angle: 177.12, Altitude: 1954.80, Satellites: 7
21:0:2.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.18, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:4.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.02, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:7.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.03, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:8.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.06, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:11.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.03, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:12.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.05, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:16.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.06, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:18.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.05, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:20.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.04, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:23.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.04, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:24.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.07, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:27.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.01, Angle: 177.12, Altitude: 1954.80, Satellites: 8
21:0:30.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.3383N, 111.5040, W, Speed (knots): , 0.00, Angle: 177.12, Altitude: 1954.80, Satellites: 8
