15:26:32.984, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.05, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:26:35.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.01, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:26:36.984, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.00, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:26:40.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.00, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:26:42.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.06, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:26:44.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.01, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:26:47.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.00, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:26:48.984, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.00, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:26:51.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.49, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:26:52.984, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.18, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:26:56.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.28, Angle: 89.76, Altitude: 1512.30, Satellites: 9
15:26:58.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 1.55, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:27:0.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.05, Angle: 89.76, Altitude: 1512.30, Satellites: 10
15:27:3.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.04, Angle: 89.76, Altitude: 1512.40, Satellites: 10
15:27:4.984, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.00, Angle: 89.76, Altitude: 1512.40, Satellites: 10
15:27:7.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2562, W, Speed (knots): , 0.13, Angle: 89.76, Altitude: 1512.60, Satellites: 10
15:27:8.984, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2563, W, Speed (knots): , 0.00, Angle: 89.76, Altitude: 1512.60, Satellites: 10
15:27:11.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2563, W, Speed (knots): , 0.00, Angle: 89.76, Altitude: 1512.60, Satellites: 10
15:27:14.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2563, W, Speed (knots): , 0.00, Angle: 89.76, Altitude: 1512.60, Satellites: 10
15:27:16.984, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2563, W, Speed (knots): , 0.00, Angle: 89.76, Altitude: 1512.60, Satellites: 10
15:27:19.0, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2563, W, Speed (knots): , 0.00, Angle: 89.76, Altitude: 1512.60, Satellites: 10
15:27:20.984, Date: 16/3/24, Fix: 1,  quality: 2, Location: 43.8468N, 112.2563, W, Speed (knots): , 0.82, Angle: 89.76, Altitude: 1512.60, Satellites: 10
