time, Longitude, Longitude, Speed(Kn), Angle(°), Altatude(m),,,,
8:05:51 AM,43.8399,-112.2548,0.5,210.98,1508.1,,,,
8:05:53 AM,43.8399,-112.2548,0.09,61.52,1506.2,,,,
8:05:55 AM,43.8399,-112.2548,0.15,324.19,1506.2,,,,
8:05:58 AM,43.8399,-112.2548,0.1,230.04,1507.6,,,,
8:06:00 AM,43.8399,-112.2548,0.07,264.41,1508.2,,,,
8:06:02 AM,43.8399,-112.2548,0.02,225.61,1508.6,,,,
8:06:04 AM,43.8399,-112.2548,0.02,290.32,1508.9,,,,
8:06:06 AM,43.8399,-112.2548,0.01,284.66,1509.4,,,,
8:06:09 AM,43.8399,-112.2548,0.02,345.55,1510.9,,,,
8:06:11 AM,43.8399,-112.2548,0.01,62.24,1511.4,,,,
8:06:13 AM,43.8399,-112.2548,0.16,359.81,1511.3,,,,
8:06:15 AM,43.8399,-112.2548,0.04,6.19,1510.8,,,,
8:06:17 AM,43.8399,-112.2548,0.02,195.61,1510.5,,,,
8:06:19 AM,43.8399,-112.2548,0.01,234.62,1509.9,,,,
8:06:22 AM,43.8399,-112.2548,0.02,164.4,1509.2,,,,
8:06:24 AM,43.8399,-112.2548,0,26.76,1509.2,,,,
6:06:26 PM,43.8399,-112.2548,0.01,83.81,1509.2,,,,
8:06:28 AM,43.8399,-112.2548,0.02,119.06,1509.2,,,,
8:06:30 AM,43.8399,-112.2548,0.02,17.65,1509.2,,,,
8:06:33 AM,43.8399,-112.2548,0.01,116.14,1509.2,,,,
8:06:35 AM,43.8399,-112.2548,0,250.56,1509.1,,,,
8:06:37 AM,43.8399,-112.2548,0.01,17.08,1509.1,,,,
8:06:40 AM,43.8399,-112.2548,0.01,244.23,1509.1,,,,
6:06:42 PM,43.8399,-112.2548,0.01,196.01,1509.1,,,,
8:06:44 AM,43.8399,-112.2548,0.01,169.82,1509.1,,,,
8:06:47 AM,43.8399,-112.2548,0.02,158.42,1509.1,,,,
8:06:49 AM,43.8399,-112.2548,0.12,233.55,1509.1,,,,
8:06:51 AM,43.8399,-112.2548,0.02,188.05,1509.1,,,,
8:06:53 AM,43.8399,-112.2548,0.03,167.68,1509.1,,,,
8:06:55 AM,43.8399,-112.2548,0.04,259.63,1509.1,,,,
8:06:57 AM,43.8399,-112.2548,0.01,298.28,1509.1,,,,
6:07:00 PM,43.8399,-112.2548,0.02,224.93,1509.1,,,,
6:07:02 PM,43.8399,-112.2548,0.02,223.33,1509.1,,,,
8:07:04 AM,43.8399,-112.2548,0.01,244.42,1509.1,,,,
8:07:06 AM,43.8399,-112.2548,0.02,251.75,1509.1,,,,
6:07:08 PM,43.8399,-112.2548,0.01,138.55,1509.1,,,,
8:07:11 AM,43.8399,-112.2548,0.01,166.44,1509.1,,,,
8:07:13 AM,43.8399,-112.2548,0.02,233.03,1509.1,,,,
8:07:15 AM,43.8399,-112.2548,0.02,155.1,1509.1,,,,
8:07:17 AM,43.8399,-112.2548,0.01,157.59,1509.1,,,,
8:07:20 AM,43.8399,-112.2548,0.01,150.54,1509.1,,,,
6:07:22 PM,43.8399,-112.2548,0.02,194.18,1509.1,,,,
6:07:25 PM,43.8399,-112.2548,0.05,239.34,1509.1,,,,
