START OF NEW COLLECT
Day 1- 7:49:43,640.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:43,63487.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:44,410.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:44,410.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:45,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:45,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:46,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:46,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:47,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:47,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:48,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:48,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:49,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:49,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:50,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:50,500.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:51,500.00, 0.00 N,0.00W, altitude:0.00
START OF NEW COLLECT
Day 1- 7:49:53,640.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:54,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:54,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:55,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:55,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:56,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:56,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:57,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:57,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:58,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:58,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:59,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:49:59,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:0,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:0,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:1,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:1,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:2,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:2,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:3,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:3,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:4,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:4,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:5,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:5,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:6,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:6,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:7,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:7,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:8,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:8,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:9,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:9,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:10,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:10,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:11,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:11,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:12,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:12,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:13,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:13,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:14,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:14,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:15,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:15,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:16,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:16,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:17,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:17,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:18,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:18,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:19,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:19,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:20,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:20,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:21,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:21,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:22,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:22,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:23,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:23,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:24,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:24,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:25,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:25,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:26,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:26,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:27,476.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:27,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:28,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:28,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:29,475.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:29,474.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:30,474.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:30,474.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:31,474.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:31,474.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:32,474.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:32,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:33,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:33,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:34,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:34,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:35,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:35,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:36,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:36,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:37,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:37,472.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:38,472.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:38,472.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:39,472.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:39,472.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:40,472.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:40,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:41,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:41,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:42,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:42,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:43,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:43,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:44,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:44,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:45,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:45,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:46,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:46,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:47,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:47,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:48,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:48,469.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:49,469.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:49,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:50,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:50,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:51,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:51,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:52,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:52,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:53,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:53,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:54,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:54,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:55,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:55,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:56,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:56,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:57,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:57,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:58,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:58,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:59,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:50:59,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:0,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:0,469.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:1,469.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:1,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:2,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:2,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:3,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:3,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:4,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:4,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:5,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:5,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:6,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:6,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:7,470.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:7,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:8,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:8,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:9,471.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:9,472.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:10,472.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:10,472.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:11,472.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:11,473.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:51:12,473.00, 0.00 N,0.00W, altitude:0.00
